"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"State","Maine",,"ME",,,,0.625,50,,3.015,207400,0.144857556735876,4.48362720403023,0.0402314368370298,,0.138997770221727,0.0629508503958576,82.5
"State","Michigan",,"MI",,,,6.66666666666667,89.19,,,135300,0.370919881305638,7.2107765451664,0.0375757575757576,,0.114124684058082,0.0232872654562003,69
"State","Minnesota",,"MN",,,,7.08333333333333,87.18,4.9484,1.6534,211100,0.571700809909481,7.10299340436327,0.0244718143060161,,0.0797014593314542,0.0194913904832166,69
"State","Missouri",,"MO",,,,1.66666666666667,80.17,,,141800,0.353857041755131,3.20232896652111,0.0257052186177715,,0.138737321606422,0.0264092300031565,68
"State","Mississippi",,"MS",,,,2.91666666666667,100,,,114400,0.0874890638670166,2.78526504941599,0.0403146853146854,,0.161539279964441,0.0400102202956752,85
"State","Montana",,"MT",,,,4.79166666666667,91.89,,,202800,0,5.24130773222626,0.0159023668639053,,0.101917441659648,0.0139561372840213,74
"State","North Carolina",,"NC",,,,5,85.92,4.536,1.6753,163600,0.615006150061501,6.64928292046936,0.0352078239608802,,0.0938058450055427,0.0347187381496467,73
"State","North Dakota",,"ND",,,,4.58333333333333,98,,,201000,-0.0497265042267529,-1.22850122850123,0.0273532338308458,,0.123013545682589,0.0146420537791306,82
"State","Nebraska",,"NE",,,,9.79166666666667,96.36,1.414,1.0159,152400,0.793650793650794,7.70318021201413,0.034265091863517,,0.0947221817708786,0.0127875523495002,59
"State","New Hampshire",,"NH",,,,7.5,87.83,,,248400,0.444803881924788,6.79277730008599,0.0378945249597424,,0.0751410000220988,0.0298256708534646,74
"State","New Jersey",,"NJ",,,,0.833333333333333,80.66,6.0353,4.1468,307500,0.26084121291164,4.52073419442556,0.0245853658536586,,0.118575799852866,0.124321925248532,109
"State","New Mexico",,"NM",,,,0.208333333333333,80,,,171600,-0.4062681369704,3.125,0.0153088578088578,,0.159180034355411,0.0512810388001616,84
"State","Nevada",,"NV",,,,4.16666666666667,82.43,6.3379,1.5408,247200,1.02165917449939,9.9644128113879,0.0523139158576051,,0.13528265056552,0.05724918138136,63
"State","New York",,"NY",,,,8.95833333333333,89.33,2.1376,0.2093,304200,0.2636783124588,11.9205298013245,0.0460815253122946,,0.0837900092772013,0.107092470173294,120
"State","Ohio",,"OH",,,,1.04166666666667,85.46,6.3283,4.0209,128700,0.155642023346304,5.57834290401969,0.0275291375291375,,0.115599421079046,0.0436249969983381,69
"State","Oklahoma",,"OK",,,,5.83333333333333,90.19,2.1191,0.6841,115600,0.0865800865800866,2.93855743544078,0.0332266435986159,,0.116891135277403,0.0379765622981948,81
"State","Oregon",,"OR",,,,8.125,97.09,4.4202,3.5537,314200,0.447570332480818,8.719723183391,0.0373806492679822,,0.054465475766029,0.0338907964389414,63
