"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","49617","Beulah","MI","Traverse City, MI","""Traverse City, MI""",,4.65327560508198,,,,167800,0.358851674641148,7.15197956577267,,,0.0747863247863248,0.0285714285714286,76
"Zip","49620","Buckley","MI","Cadillac, MI","""Cadillac, MI""",,6.6839378238342,,,,130000,-0.459418070444104,6.29599345870809,,,0.109756097560976,0,98.5
"Zip","49622","Central Lake","MI",,,,0.360564979771453,,,,144900,-0.343878954607978,2.33050847457627,,,0.105084745762712,0.0645161290322581,98
"Zip","49637","Grawn","MI","Traverse City, MI","""Traverse City, MI""",,5.66683228050252,,,,153500,-0.259909031838856,8.71104815864023,,,0.0715667311411992,0,60
"Zip","49639","Green Township","MI","Big Rapids, MI","""Big Rapids, MI""",,0.391085243807225,,,,88600,-0.112739571589628,2.07373271889401,,,0.191126279863481,0.0178571428571429,96
"Zip","49648","Kewadin","MI",,,,8.14891049755128,,,,397000,0.787001777100787,9.5776980402981,,,0.0531645569620253,0.0476190476190476,98
"Zip","49649","Kingsley","MI","Traverse City, MI","""Traverse City, MI""",,5.50855277166584,,,,160700,0,9.02306648575305,,,0.06524064171123,0.0163934426229508,60
"Zip","49650","Lake Ann","MI","Traverse City, MI","""Traverse City, MI""",,7.37028887784797,,,,177400,0.396151669496321,8.83435582822086,,,0.0791139240506329,0,76
"Zip","49660","Manistee","MI",,,,3.7220526651998,,,,122300,0,8.325952170062,,,0.109534619750284,0.0259067357512953,93.5
"Zip","49663","Manton","MI","Cadillac, MI","""Cadillac, MI""",,8.9197246078501,,,,112700,0.714924039320822,11.5841584158416,,,0.132330827067669,0.0227272727272727,98.5
"Zip","49668","Mesick","MI","Cadillac, MI","""Cadillac, MI""",,3.59003477890553,,,,96400,-0.31023784901758,2.33545647558386,,,0.165333333333333,0,98.5
"Zip","49682","Suttons Bay","MI","Traverse City, MI","""Traverse City, MI""",,5.15437575413443,,,,227900,-0.783630822812364,-2.77303754266212,,,0.0500834724540902,0,95
"Zip","49686","Traverse City","MI","Traverse City, MI","""Traverse City, MI""",,2.73262829157499,,,,193100,-0.463917525773196,4.60455037919827,,,0.0658221559860904,0.00754716981132075,58
"Zip","49690","Williamsburg","MI","Traverse City, MI","""Traverse City, MI""",,7.72091702746824,,,,246900,0.0810701256586948,8.14717477003942,,,0.038527397260274,0,60
"Zip","49706","Alanson","MI",,,,9.31010007807509,,,,136900,0.661764705882353,16.213921901528,,,0.103786816269285,0,94
"Zip","49712","Boyne City","MI",,,,9.37326992689332,,,,154000,0.391134289439374,10.1573676680973,,,0.119029567854435,0.00636942675159236,133
"Zip","49727","East Jordan","MI",,,,4.59365462417489,,,,130900,-0.0763358778625954,3.23343848580442,,,0.155056179775281,0.0144927536231884,133
"Zip","49733","Frederic","MI",,,,8.47540634537583,,,,101000,0.0991080277502478,15.0341685649203,,,0.0909090909090909,0,95
"Zip","49735","Gaylord","MI",,,,2.6027397260274,,,,116900,0.171379605826907,5.98368087035358,,,0.131930392553622,0.0153374233128834,77
"Zip","49736","Goetzville","MI","Sault Ste. Marie, MI","""Sault Ste. Marie, MI""",,6.51430193768188,,,,77400,0.650195058517555,-3.61145703611457,,,0.17741935483871,0,155
"Zip","49738","Grayling","MI",,,,4.9634466605153,,,,90800,0,14.3576826196474,,,0.125288239815527,0.0306748466257669,95
"Zip","49751","Johannesburg","MI",,,,4.30264745546171,,,,116800,-0.511073253833049,10.8159392789374,,,0.149019607843137,0,88
"Zip","49766","Ossineke","MI","Alpena, MI","""Alpena, MI""",,3.84129462701398,,,,90800,0.776914539400666,3.53477765108324,,,0.1675,0.0149253731343284,76
"Zip","49769","Pellston","MI",,,,6.46390801334374,,,,124100,0.567260940032415,4.99153976311337,,,0.134078212290503,0,94
"Zip","49770","Petoskey","MI",,,,8.09851657321314,,,,216500,0.1850994909764,12.0020693222969,,,0.0877535101404056,0.0177777777777778,89
"Zip","49799","Wolverine","MI",,,,1.15764071261268,,,,96800,0.20703933747412,-3.0060120240481,,,0.16015625,0,87
"Zip","49802","Kingsford","MI","Iron Mountain, MI","""Iron Mountain, MI-WI""",,0.87089218539286,,,,65600,-0.906344410876133,-4.92753623188406,,,0.18265306122449,0.0111731843575419,90.5
"Zip","49807","Bark River","MI","Escanaba, MI","""Escanaba, MI""",,0.273972602739726,,,,93500,-1.05820105820106,-11.7091595845137,,,0.214750542299349,0.0404040404040404,98
"Zip","49814","Champion","MI","Marquette, MI","""Marquette, MI""",,9.01838313577969,,,,104700,0.576368876080692,11.6204690831557,,,0.126436781609195,0,84
"Zip","49837","Gladstone","MI","Escanaba, MI","""Escanaba, MI""",,1.82056923841295,,,,81300,0.123152709359606,-4.01416765053129,,,0.262117346938776,0.0145985401459854,98
"Zip","49849","Ishpeming","MI","Marquette, MI","""Marquette, MI""",,2.1655191993754,,,,87500,0.11441647597254,-2.01567749160134,,,0.152512998266898,0.00757575757575758,84
"Zip","49855","Marquette","MI","Marquette, MI","""Marquette, MI""",,3.10809851657321,,,,158600,0,-2.460024600246,,,0.090635838150289,0.0102040816326531,77.5
"Zip","49866","Negaunee","MI","Marquette, MI","""Marquette, MI""",,2.3607069344879,,,,118600,0,-2.78688524590164,,,0.125179856115108,0.00574712643678161,84
